path,title,main_keyword,slug,word_count
content/dog-care/01-how-to-stop-puppy-biting-at-3-months.md,"How to Stop Puppy Biting at 3 Months","how to stop puppy biting at 3 months",how-to-stop-puppy-biting-at-3-months,1351
content/dog-care/02-best-daily-routine-for-senior-dog-with-arthritis.md,"Best Daily Routine for a Senior Dog with Arthritis","best daily routine for senior dog with arthritis",best-daily-routine-for-senior-dog-with-arthritis,1347
content/dog-care/03-how-often-should-you-bathe-a-golden-retriever.md,"How Often Should You Bathe a Golden Retriever?","how often should you bathe a golden retriever",how-often-should-you-bathe-a-golden-retriever,1339
content/dog-care/04-home-remedies-for-dog-itchy-paws-after-walks.md,"Home Remedies for Dog Itchy Paws After Walks","home remedies for dog itchy paws after walks",home-remedies-for-dog-itchy-paws-after-walks,1340
content/dog-care/05-how-to-clean-dog-ears-at-home-safely.md,"How to Clean Dog Ears at Home Safely","how to clean dog ears at home safely",how-to-clean-dog-ears-at-home-safely,1351
content/dog-care/06-crate-training-schedule-for-working-dog-owners.md,"Crate Training Schedule for Working Dog Owners","crate training schedule for working dog owners",crate-training-schedule-for-working-dog-owners,1318
content/dog-care/07-how-to-reduce-dog-shedding-in-apartment.md,"How to Reduce Dog Shedding in an Apartment","how to reduce dog shedding in apartment",how-to-reduce-dog-shedding-in-apartment,1319
content/dog-care/08-best-way-to-remove-dog-urine-smell-from-carpet.md,"Best Way to Remove Dog Urine Smell from Carpet","best way to remove dog urine smell from carpet",best-way-to-remove-dog-urine-smell-from-carpet,1394
content/dog-care/09-how-to-calm-dog-during-thunderstorms-naturally.md,"How to Calm a Dog During Thunderstorms Naturally","how to calm dog during thunderstorms naturally",how-to-calm-dog-during-thunderstorms-naturally,1319
content/dog-care/10-best-tick-prevention-for-dogs-in-backyard.md,"Best Tick Prevention for Dogs in Backyards","best tick prevention for dogs in backyard",best-tick-prevention-for-dogs-in-backyard,1308
content/cat-care/01-how-to-stop-cat-from-scratching-furniture-at-night.md,"How to Stop a Cat from Scratching Furniture at Night","how to stop cat from scratching furniture at night",how-to-stop-cat-from-scratching-furniture-at-night,1380
content/cat-care/02-kitten-litter-training-in-small-apartment.md,"Kitten Litter Training in a Small Apartment","kitten litter training in small apartment",kitten-litter-training-in-small-apartment,1279
content/cat-care/03-best-ways-to-reduce-cat-hairballs-naturally.md,"Best Ways to Reduce Cat Hairballs Naturally","best ways to reduce cat hairballs naturally",best-ways-to-reduce-cat-hairballs-naturally,1310
content/cat-care/04-how-to-introduce-new-cat-to-resident-cat-slowly.md,"How to Introduce a New Cat to a Resident Cat Slowly","how to introduce new cat to resident cat slowly",how-to-introduce-new-cat-to-resident-cat-slowly,1384
content/cat-care/05-cat-not-drinking-water-what-to-do.md,"Cat Not Drinking Water: What to Do First","cat not drinking water what to do",cat-not-drinking-water-what-to-do,1318
content/cat-care/06-how-to-clean-cat-ears-without-stress.md,"How to Clean Cat Ears Without Stress","how to clean cat ears without stress",how-to-clean-cat-ears-without-stress,1323
content/cat-care/07-indoor-enrichment-ideas-for-bored-cats.md,"Indoor Enrichment Ideas for Bored Cats","indoor enrichment ideas for bored cats",indoor-enrichment-ideas-for-bored-cats,1285
content/cat-care/08-best-routine-for-senior-cat-grooming-at-home.md,"Best Grooming Routine for Senior Cats at Home","best routine for senior cat grooming at home",best-routine-for-senior-cat-grooming-at-home,1344
content/cat-care/09-how-to-trim-cat-nails-for-beginners.md,"How to Trim Cat Nails for Beginners","how to trim cat nails for beginners",how-to-trim-cat-nails-for-beginners,1319
